ID,description,longitude,latitude,imgp,imgc,imgo,imgf,imgg,icon
1,生科草坪,116.313664,39.99243,figure/taxa/1_L2_phylum.png,figure/taxa/1_L3_class.png,figure/taxa/1_L4_order.png,figure/taxa/1_L4_order.png,figure/taxa/1_L5_family.png,figure/taxa/1_L6_genus.png
10,三教,116.313518,39.9893,figure/taxa/10_L2_phylum.png,figure/taxa/10_L3_class.png,figure/taxa/10_L4_order.png,figure/taxa/10_L4_order.png,figure/taxa/10_L5_family.png,figure/taxa/10_L6_genus.png
11,燕园大厦,116.314498,39.98775,figure/taxa/11_L2_phylum.png,figure/taxa/11_L3_class.png,figure/taxa/11_L4_order.png,figure/taxa/11_L4_order.png,figure/taxa/11_L5_family.png,figure/taxa/11_L6_genus.png
12,邱德拔,116.314556,39.98891,figure/taxa/12_L2_phylum.png,figure/taxa/12_L3_class.png,figure/taxa/12_L4_order.png,figure/taxa/12_L4_order.png,figure/taxa/12_L5_family.png,figure/taxa/12_L6_genus.png
13,五四运动场,116.313498,39.98799,figure/taxa/13_L2_phylum.png,figure/taxa/13_L3_class.png,figure/taxa/13_L4_order.png,figure/taxa/13_L4_order.png,figure/taxa/13_L5_family.png,figure/taxa/13_L6_genus.png
14,对外汉语教育学院,116.311582,39.98797,figure/taxa/14_L2_phylum.png,figure/taxa/14_L3_class.png,figure/taxa/14_L4_order.png,figure/taxa/14_L4_order.png,figure/taxa/14_L5_family.png,figure/taxa/14_L6_genus.png
16,农园,116.312125,39.98933,figure/taxa/16_L2_phylum.png,figure/taxa/16_L3_class.png,figure/taxa/16_L4_order.png,figure/taxa/16_L4_order.png,figure/taxa/16_L5_family.png,figure/taxa/16_L6_genus.png
17,燕南园,116.310233,39.99068,figure/taxa/17_L2_phylum.png,figure/taxa/17_L3_class.png,figure/taxa/17_L4_order.png,figure/taxa/17_L4_order.png,figure/taxa/17_L5_family.png,figure/taxa/17_L6_genus.png
18,光华管理学院,116.311313,39.99054,figure/taxa/18_L2_phylum.png,figure/taxa/18_L3_class.png,figure/taxa/18_L4_order.png,figure/taxa/18_L4_order.png,figure/taxa/18_L5_family.png,figure/taxa/18_L6_genus.png
19,地学楼,116.311801,39.99194,figure/taxa/19_L2_phylum.png,figure/taxa/19_L3_class.png,figure/taxa/19_L4_order.png,figure/taxa/19_L4_order.png,figure/taxa/19_L5_family.png,figure/taxa/19_L6_genus.png
2,东侧门,116.315041,39.99293,figure/taxa/2_L2_phylum.png,figure/taxa/2_L3_class.png,figure/taxa/2_L4_order.png,figure/taxa/2_L4_order.png,figure/taxa/2_L5_family.png,figure/taxa/2_L6_genus.png
20,图书馆,116.310716,39.99188,figure/taxa/20_L2_phylum.png,figure/taxa/20_L3_class.png,figure/taxa/20_L4_order.png,figure/taxa/20_L4_order.png,figure/taxa/20_L5_family.png,figure/taxa/20_L6_genus.png
21-1,一教,116.310148,39.99256,figure/taxa/21-1_L2_phylum.png,figure/taxa/21-1_L3_class.png,figure/taxa/21-1_L4_order.png,figure/taxa/21-1_L4_order.png,figure/taxa/21-1_L5_family.png,figure/taxa/21-1_L6_genus.png
21-2,百周年纪念讲堂,116.31058,39.9899,figure/taxa/21-2_L2_phylum.png,figure/taxa/21-2_L3_class.png,figure/taxa/21-2_L4_order.png,figure/taxa/21-2_L4_order.png,figure/taxa/21-2_L5_family.png,figure/taxa/21-2_L6_genus.png
23-1,教育学院,116.311572,39.98891,figure/taxa/23-1_L2_phylum.png,figure/taxa/23-1_L3_class.png,figure/taxa/23-1_L4_order.png,figure/taxa/23-1_L4_order.png,figure/taxa/23-1_L5_family.png,figure/taxa/23-1_L6_genus.png
23-2,38-39宿舍区,116.308488,39.98728,figure/taxa/23-2_L2_phylum.png,figure/taxa/23-2_L3_class.png,figure/taxa/23-2_L4_order.png,figure/taxa/23-2_L4_order.png,figure/taxa/23-2_L5_family.png,figure/taxa/23-2_L6_genus.png
24,文明科学雕塑,116.309732,39.98827,figure/taxa/24_L2_phylum.png,figure/taxa/24_L3_class.png,figure/taxa/24_L4_order.png,figure/taxa/24_L4_order.png,figure/taxa/24_L5_family.png,figure/taxa/24_L6_genus.png
25,学一,116.307826,39.98734,figure/taxa/25_L2_phylum.png,figure/taxa/25_L3_class.png,figure/taxa/25_L4_order.png,figure/taxa/25_L4_order.png,figure/taxa/25_L5_family.png,figure/taxa/25_L6_genus.png
27,燕南园中间,116.309413,39.98967,figure/taxa/27_L2_phylum.png,figure/taxa/27_L3_class.png,figure/taxa/27_L4_order.png,figure/taxa/27_L4_order.png,figure/taxa/27_L5_family.png,figure/taxa/27_L6_genus.png
28,学五草坪,116.3073,39.98895,figure/taxa/28_L2_phylum.png,figure/taxa/28_L3_class.png,figure/taxa/28_L4_order.png,figure/taxa/28_L4_order.png,figure/taxa/28_L5_family.png,figure/taxa/28_L6_genus.png
